Link Road,Detector_Name,Id,Name,Description,Longitude,Latitude,Status,Direction
M4 J4b-5,M4/2295A4,3149,MIDAS site at M4/2295A4 priority 1 on link 105009001; GPS Ref: 502816;178156; Westbound,M4/2295A4,-0.520379558,51.49301154,Active,Westbound
M4 J4b-5,M4/2298A,1985,MIDAS site at M4/2298A priority 2 on link 105009001; GPS Ref: 502520;178160; Westbound,M4/2298A,-0.524640626,51.49310119,Active,Westbound
M4 J4b-5,M4/2301A,4121,MIDAS site at M4/2301A priority 4 on link 105009001; GPS Ref: 502210;178161; Westbound,M4/2301A,-0.529104177,51.49316624,Active,Westbound
M4 J4b-5,M4/2305A,1481,MIDAS site at M4/2305A priority 5 on link 105009001; GPS Ref: 501838;178126; Westbound,M4/2305A,-0.534470939,51.49291871,Active,Westbound
M4 J4-5,M4/2288B,5822,MIDAS site at M4/2288B priority 4 on link 199003201; GPS Ref: 503512;178226; Eastbound,M4/2288B,-0.510337083,51.49351387,Active,Eastbound
M4 J4-5,M4/2291B,5784,MIDAS site at M4/2291B priority 2 on link 199003201; GPS Ref: 503225;178180; Eastbound,M4/2291B,-0.514483198,51.49315281,Active,Eastbound
M4 J4-5,M4/2295B,5145,MIDAS site at M4/2295B priority 1 on link 199003201; GPS Ref: 502821;178174; Eastbound,M4/2295B,-0.52030232,51.49317242,Active,Eastbound
M4 J4-5,M4/2298B,3189,MIDAS site at M4/2298B priority 1 on link 199003201; GPS Ref: 502519;178179; Eastbound,M4/2298B,-0.524649511,51.49327215,Active,Eastbound
M4 J4-5,M4/2302B,121,MIDAS site at M4/2302B priority 3 on link 199003201; GPS Ref: 502117;178175; Eastbound,M4/2302B,-0.530439285,51.49330887,Active,Eastbound
M4 J4-5,M4/2305B,2353,MIDAS site at M4/2305B priority 5 on link 199003201; GPS Ref: 501836;178145; Eastbound,M4/2305B,-0.534494262,51.49308985,Active,Eastbound
A405,6133/1,7887,TMU Site 6133/1 on link A405 northbound between M1 and M25; GPS Ref: 512533;202933; Northbound,6133/1,-0.372523099,51.71385457,Active,Northbound
A405,6134/1,7888,TMU Site 6134/1 on link A405 southbound between M25 and M1; GPS Ref: 512570;202954; Southbound,6134/1,-0.371981021,51.71403589,Active,Southbound
A405,6007/2,9066,TMU Site 6007/2 on link A405 northbound within the M1 junction; GPS Ref: 511912;202069; Northbound,6007/2,-0.381785023,51.70621352,Active,Northbound
A405,6007/1,9522,TMU Site 6007/1 on link A405 southbound within the M1 junction; GPS Ref: 511929;202063; Southbound,6007/1,-0.38154102,51.7061562,Active,Southbound
M1 J1-2,M1/2114A,2339,MIDAS site at M1/2114A priority 1 on link 200109235; GPS Ref: 522454;187693; Northbound,M1/2114A,-0.234320299,51.57481571,Active,Northbound
M1 J1-2,M1/2149A,4281,MIDAS site at M1/2149A priority 1 on link 199112202; GPS Ref: 521996;190920; Northbound,M1/2149A,-0.239805769,51.60391654,Active,Northbound
M1 J1-2,M1/2116B,1429,MIDAS site at M1/2116B priority 1 on link 199109602; GPS Ref: 522416;187767; Southbound,M1/2116B,-0.234842572,51.57548902,Active,Southbound
M1 J1-2,M1/2147B,4235,MIDAS site at M1/2147B priority 1 on link 126043501; GPS Ref: 522119;190739; Southbound,M1/2147B,-0.238093425,51.60226329,Active,Southbound
M1 J2-4,M1/2155A,10054,MIDAS site at M1/2155A priority 1 on link 123012901; GPS Ref: 521674;191421; Northbound,M1/2155A,-0.244279711,51.60848847,Active,Northbound
M1 J2-4,M1/2190A,9784,MIDAS site at M1/2190A priority 1 on link 123013001; GPS Ref: 519967;194457; Northbound,M1/2190A,-0.267880787,51.63613931,Active,Northbound
M1 J2-4,M1/2195A,9989,MIDAS site at M1/2195A priority 1 on link 199111903; GPS Ref: 519530;194647; Northbound,M1/2195A,-0.27412733,51.63793998,Active,Northbound
M1 J2-4,M1/2216A,2246,MIDAS site at M1/2216A priority 1 on link 199111903; GPS Ref: 517488;194364; Northbound,M1/2216A,-0.303715342,51.63582668,Active,Northbound
M1 J2-4,M1/2176B,9789,MIDAS site at M1/2176B priority 1 on link 199112102; GPS Ref: 520564;193178; Southbound,M1/2176B,-0.259698715,51.62451687,Active,Southbound
M1 J2-4,M1/2181B,9766,MIDAS site at M1/2181B priority 1 on link 199112102; GPS Ref: 520373;193668; Southbound,M1/2181B,-0.262288297,51.6289615,Active,Southbound
M1 J2-4,M1/2185B,9822,MIDAS site at M1/2185B priority 1 on link 123013201; GPS Ref: 520286;194059; Southbound,M1/2185B,-0.263410314,51.63249418,Active,Southbound
M1 J2-4,M1/2215B,1867,MIDAS site at M1/2215B priority 1 on link 123013101; GPS Ref: 517598;194349; Southbound,M1/2215B,-0.302131663,51.63566889,Active,Southbound
M1 J4-5,M1/2220A,5094,MIDAS site at M1/2220A priority 1 on link 108024801; GPS Ref: 517107;194508; Northbound,M1/2220A,-0.309169946,51.63720032,Active,Northbound
M1 J4-5,M1/2223A,556,MIDAS site at M1/2223A priority 1 on link 108024801; GPS Ref: 516835;194636; Northbound,M1/2223A,-0.31305585,51.63840728,Active,Northbound
M1 J4-5,M1/2228A,2272,MIDAS site at M1/2228A priority 1 on link 108024801; GPS Ref: 516400;194896; Northbound,M1/2228A,-0.319252496,51.64083424,Active,Northbound
M1 J4-5,M1/2233A,6130,MIDAS site at M1/2233A priority 1 on link 108024801; GPS Ref: 516000;195202; Northbound,M1/2233A,-0.324928976,51.6436671,Active,Northbound
M1 J4-5,M1/2248A,4093,MIDAS site at M1/2248A priority 1 on link 108024801; GPS Ref: 514768;195958; Northbound,M1/2248A,-0.342478144,51.65071456,Active,Northbound
M1 J4-5,M1/2253A,1752,MIDAS site at M1/2253A priority 1 on link 108024801; GPS Ref: 514649;196476; Northbound,M1/2253A,-0.344027749,51.65539451,Active,Northbound
M1 J4-5,M1/2220B,591,MIDAS site at M1/2220B priority 1 on link 199111802; GPS Ref: 517121;194522; Southbound,M1/2220B,-0.308963058,51.63732324,Active,Southbound
M1 J4-5,M1/2223B,3203,MIDAS site at M1/2223B priority 1 on link 199111802; GPS Ref: 516853;194647; Southbound,M1/2223B,-0.312792193,51.63850241,Active,Southbound
M1 J4-5,M1/2228B,2370,MIDAS site at M1/2228B priority 1 on link 199111802; GPS Ref: 516423;194903; Southbound,M1/2228B,-0.318917944,51.64089239,Active,Southbound
M1 J4-5,M1/2232B,1754,MIDAS site at M1/2232B priority 1 on link 199111802; GPS Ref: 516106;195140; Southbound,M1/2232B,-0.323418311,51.64308799,Active,Southbound
M1 J4-5,M1/2241B,9631,MIDAS site at M1/2241B priority 1 on link 125038801; GPS Ref: 515296;195524; Southbound,M1/2241B,-0.334992628,51.64670588,Active,Southbound
M1 J4-5,M1/2247B,442,MIDAS site at M1/2247B priority 1 on link 125038701; GPS Ref: 514834;195872; Southbound,M1/2247B,-0.341552799,51.64992813,Active,Southbound
M1 J4-5,M1/2252B,3589,MIDAS site at M1/2252B priority 1 on link 125038701; GPS Ref: 514682;196369; Southbound,M1/2252B,-0.343585986,51.65442609,Active,Southbound
M1 J5-6,M1/2293A,4832,MIDAS site at M1/2293A priority 1 on link 108023801; GPS Ref: 512314;199619; Northbound,M1/2293A,-0.376758122,51.68411386,Active,Northbound
M1 J5-6,M1/2297A,2247,MIDAS site at M1/2297A priority 1 on link 108023801; GPS Ref: 512317;200018; Northbound,M1/2297A,-0.376586401,51.68769927,Active,Northbound
M1 J5-6,M1/2301A,5150,MIDAS site at M1/2301A priority 1 on link 108023801; GPS Ref: 512382;200424; Northbound,M1/2301A,-0.375515925,51.69133521,Active,Northbound
M1 J5-6,M1/2292B,216,MIDAS site at M1/2292B priority 1 on link 108025001; GPS Ref: 512350;199509; Southbound,M1/2292B,-0.376273045,51.68311805,Active,Southbound
M1 J5-6,M1/2297B,2857,MIDAS site at M1/2297B priority 1 on link 108025001; GPS Ref: 512336;200006; Southbound,M1/2297B,-0.376315546,51.68758762,Active,Southbound
M1 J5-6,M1/2302B,5371,MIDAS site at M1/2302B priority 1 on link 108025001; GPS Ref: 512410;200506; Southbound,M1/2302B,-0.375084647,51.69206659,Active,Southbound
M1 J6-6a,M1/2332A,1430,MIDAS site at M1/2332A priority 1 on link 108024602; GPS Ref: 511624;203267; Northbound,M1/2332A,-0.385568308,51.71703804,Active,Northbound
M1 J6-6a,M1/2335A,705,MIDAS site at M1/2335A priority 1 on link 108024602; GPS Ref: 511515;203657; Northbound,M1/2335A,-0.387021131,51.72056494,Active,Northbound
M1 J6-6a,M1/2342A,3529,MIDAS site at M1/2342A priority 1 on link 200047543; GPS Ref: 511317;204326; Northbound,M1/2342A,-0.389673348,51.72661709,Active,Northbound
M1 J6-6a,M1/2331B,3210,MIDAS site at M1/2331B priority 1 on link 108023701; GPS Ref: 511642;203293; Southbound,M1/2331B,-0.385299554,51.71726814,Active,Southbound
M1 J6-6a,M1/2338B,1524,MIDAS site at M1/2338B priority 1 on link 108023701; GPS Ref: 511457;203940; Southbound,M1/2338B,-0.38777021,51.72312,Active,Southbound
A1(M),A1M/9362B,154,MIDAS site at A1M/9362B priority 1 on link 108008701; GPS Ref: 522428;212344; Southbound,A1M/9362B,-0.226058503,51.79636041,Active,Southbound
A1(M),A1M/9327B,762,MIDAS site at A1M/9327B priority 1 on link 108007501; GPS Ref: 521928;209139; Southbound,A1M/9327B,-0.234429547,51.76766652,Active,Southbound
A1(M),A1M/9323A,826,MIDAS site at A1M/9323A priority 1 on link 108008901; GPS Ref: 521748;208781; Northbound,A1M/9323A,-0.237162268,51.76448827,Active,Northbound
A1(M),A1M/9230L,1671,MIDAS site at A1M/9230L priority 1 on link 108003801; GPS Ref: 522667;200408; Southbound,A1M/9230L,-0.226799404,51.68903948,Active,Southbound
A1(M),A1M/9317B,1852,MIDAS site at A1M/9317B priority 1 on link 108007501; GPS Ref: 521432;208235; Southbound,A1M/9317B,-0.24192996,51.75964984,Active,Southbound
A1(M),A1M/9230K,1886,MIDAS site at A1M/9230K priority 1 on link 108007902; GPS Ref: 522599;200420; Northbound,A1M/9230K,-0.227778423,51.68916217,Active,Northbound
A1(M),A1M/9230B,2278,MIDAS site at A1M/9230B priority 1 on link 108010501; GPS Ref: 522517;200141; Southbound,A1M/9230B,-0.229061857,51.68667267,Active,Southbound
A1(M),A1M/9322B,2685,MIDAS site at A1M/9322B priority 1 on link 118012201; GPS Ref: 521717;208680; Southbound,A1M/9322B,-0.237646667,51.7635873,Active,Southbound
A1(M),A1M/9328A,4494,MIDAS site at A1M/9328A priority 1 on link 108008901; GPS Ref: 521940;209229; Northbound,A1M/9328A,-0.234224116,51.76847275,Active,Northbound
A1(M),A1M/9230A,5301,MIDAS site at A1M/9230A priority 1 on link 108007903; GPS Ref: 522628;200423; Northbound,A1M/9230A,-0.227358052,51.6891828,Active,Northbound
A1(M),A1M/9362A,5813,MIDAS site at A1M/9362A priority 1 on link 108008501; GPS Ref: 522411;212337; Northbound,A1M/9362A,-0.226307363,51.79630121,Active,Northbound
A1(M),A1M/9318A,6256,MIDAS site at A1M/9318A priority 1 on link 108008901; GPS Ref: 521479;208340; Northbound,A1M/9318A,-0.241212581,51.76058331,Active,Northbound
A1(M),6131/3,7764,TMU Site 6131/3 on A1 southbound within the A5135 junction; GPS Ref: 521197;196659; Southbound,6131/3,-0.249352939,51.65566578,Active,Southbound
A1(M),6131/1,7765,TMU Site 6131/1 on A1 southbound exit for A5135; GPS Ref: 521223;196669; Southbound,6131/1,-0.24897381,51.65575005,Active,Southbound
A1(M),6131/2,7766,TMU Site 6131/2 on A1 southbound access from A5135; GPS Ref: 521218;196632; Southbound,6131/2,-0.249058882,51.6554186,Active,Southbound
A1(M),6132/2,7767,TMU Site 6132/2 on link A1 northbound within the A5135 junction; GPS Ref: 521182;196669; Northbound,6132/2,-0.2495662,51.65575889,Active,Northbound
A1(M),6132/1,7768,TMU Site 6132/1 on link A1 northbound exit for A5135; GPS Ref: 521167;196661; Northbound,6132/1,-0.249785701,51.65569023,Active,Northbound
A1(M),6087/1,7769,TMU Site 6087/1 on link A1 northbound exit for M25/A1(M); GPS Ref: 522344;199805; Northbound,6087/1,-0.231680746,51.68369071,Active,Northbound
A1(M),A1M/9363K,9609,MIDAS site at A1M/9363K priority 1 on link 108008502; GPS Ref: 522341;212420; Northbound,A1M/9363K,-0.227292661,51.79706243,Active,Northbound
A1(M),A1M/9311A,10752,MIDAS site at A1M/9311A priority 1 on link 108007401; GPS Ref: 521220;207715; Northbound,A1M/9311A,-0.245181619,51.7550224,Active,Northbound
A1(M),A1M/9331A,10765,MIDAS site at A1M/9331A priority 1 on link 108008901; GPS Ref: 522057;209480; Northbound,A1M/9331A,-0.232441122,51.77070304,Active,Northbound
A1(M),A1M/9342B,17889,MIDAS site at A1M/9342B priority 1 on link 108008801; GPS Ref: 522679;210374; Southbound,A1M/9342B,-0.223115614,51.77860152,Active,Southbound
A1(M),A1M/9316B,17893,MIDAS site at A1M/9316B priority 1 on link 108007501; GPS Ref: 521379;208144; Southbound,A1M/9316B,-0.242729303,51.75884349,Active,Southbound
M11,M11/6232B,1848,MIDAS site at M11/6232B priority 1 on link 199063801; GPS Ref: 546841;199670; Southbound,M11/6232B,0.1223715,51.67661226,Active,Southbound
M11,M11/6237K,3190,MIDAS site at M11/6237K priority 1 on link 199063303; GPS Ref: 547038;200074; Northbound,M11/6237K,0.125388503,51.68019088,Active,Northbound
M11,M11/6237A,3798,MIDAS site at M11/6237A priority 1 on link 199063301; GPS Ref: 547048;200047; Northbound,M11/6237A,0.125521675,51.67994566,Active,Northbound
M11,6172/1,8974,TMU Site 6172/1 on link M11 northbound between J4 and J5; GPS Ref: 541753;190954; Northbound,6172/1,0.045309097,51.59959822,Active,Northbound
M11,6173/1,8975,TMU Site 6173/1 on link M11 southbound between J5 and J4; GPS Ref: 542073;192263; Southbound,6173/1,0.050456107,51.61127986,Active,Southbound
M11,M11/6242B,9633,MIDAS site at M11/6242B priority 1 on link 199064203; GPS Ref: 547352;200417; Southbound,M11/6242B,0.130071434,51.68319065,Active,Southbound
M11,M11/6242L,10098,MIDAS site at M11/6242L priority 1 on link 199063401; GPS Ref: 547366;200411; Southbound,M11/6242L,0.130271262,51.68313307,Active,Southbound
M11,M11/6241A,10106,MIDAS site at M11/6241A priority 1 on link 199048801; GPS Ref: 547284;200350; Northbound,M11/6241A,0.12906031,51.68260645,Active,Northbound
A1023,6251/2,7932,TMU Site 6251/2 on link A12 northbound within the A1023 junction; GPS Ref: 562013;196648; Northbound,6251/2,0.340215777,51.64529532,Active,Northbound
A1023,6251/1,7933,TMU Site 6251/1 on link A12 northbound exit for A1023; GPS Ref: 562006;196655; Northbound,6251/1,0.340117935,51.64536022,Active,Northbound
A1023,6252/2,7934,TMU Site 6252/2 on link A12 southbound within the A1023 junction; GPS Ref: 562443;196743; Southbound,6252/2,0.346469064,51.64602479,Active,Southbound
A1023,6252/1,7935,TMU Site 6252/1 on link A12 southbound exit for A1023; GPS Ref: 562444;196721; Southbound,6252/1,0.346473299,51.64582686,Active,Southbound
A13,6062/2,7772,TMU Site 6062/2 on link link road from A1089 northbound to A13 eastbound; GPS Ref: 563458;180694; Eastbound,6062/2,0.353666135,51.50154894,Active,Eastbound
A1089,6062/2,7772,TMU Site 6062/2 on link link road from A1089 northbound to A13 eastbound; GPS Ref: 563458;180694; Eastbound,6062/2,0.353666135,51.50154894,Active,Eastbound
A13,6062/1,7773,TMU Site 6062/1 on link link road from A1089 northbound to A13 westbound; GPS Ref: 563439;180687; Westbound,6062/1,0.35338939,51.50149153,Active,Westbound
A1089,6062/1,7773,TMU Site 6062/1 on link link road from A1089 northbound to A13 westbound; GPS Ref: 563439;180687; Westbound,6062/1,0.35338939,51.50149153,Active,Westbound
A13,6058/1,7778,TMU Site 6058/1 on link A13 westbound between A1012 and A126; GPS Ref: 559323;179785; Westbound,6058/1,0.293732359,51.49456173,Active,Westbound
A13,6057/2,7779,TMU Site 6057/2 on link A13 eastbound between A126 and A1012; GPS Ref: 558846;179835; Eastbound,6057/2,0.286889347,51.49514506,Active,Eastbound
A13,6057/1,7780,TMU Site 6057/1 on link A13 eastbound exit for A126; GPS Ref: 558844;179859; Eastbound,6057/1,0.286871353,51.49536125,Active,Eastbound
A13,6055/2,7781,TMU Site 6055/2 on link A13 eastbound within the M25/A282 junction; GPS Ref: 557184;179910; Eastbound,6055/2,0.263000796,51.49628304,Active,Eastbound
A13,6055/1,7782,TMU Site 6055/1 on link A13 eastbound exit for M25/A282; GPS Ref: 557182;179919; Eastbound,6055/1,0.262976014,51.49636446,Active,Eastbound
A13,6056/2,7783,TMU Site 6056/2 on link A13 westbound within the M25/A282 junction; GPS Ref: 557808;180075; Westbound,6056/2,0.272056241,51.4975918,Active,Westbound
A13,6056/1,7784,TMU Site 6056/1 on link A13 westbound exit for M25/A282; GPS Ref: 557806;180055; Westbound,6056/1,0.272018516,51.49741267,Active,Westbound
A13,6050/2,7785,TMU Site 6050/2 on link A13 westbound within the A1306 junction near Aveley; GPS Ref: 555064;180193; Westbound,6050/2,0.232609914,51.49941086,Active,Westbound
A13,6050/1,7786,TMU Site 6050/1 on link A13 westbound exit for A1306; GPS Ref: 555057;180166; Westbound,6050/1,0.232497303,51.49917019,Active,Westbound
A13,6059/1,7787,TMU Site 6059/1 on link A13 eastbound exit for A1012; GPS Ref: 560635;180204; Eastbound,6059/1,0.312806362,51.49795523,Active,Eastbound
A13,6060/2,7788,TMU Site 6060/2 on link A13 westbound within the A1012 junction; GPS Ref: 560981;180566; Westbound,6060/2,0.317951662,51.5011092,Active,Westbound
A13,6060/1,7789,TMU Site 6060/1 on link A13 westbound exit for A1012; GPS Ref: 561000;180557; Westbound,6060/1,0.31822106,51.50102293,Active,Westbound
A13,6061/2,7790,TMU Site 6061/2 on link A13 eastbound within the A1089 junction; GPS Ref: 562728;181003; Eastbound,6061/2,0.343300339,51.5045354,Active,Eastbound
A1089,6061/2,7790,TMU Site 6061/2 on link A13 eastbound within the A1089 junction; GPS Ref: 562728;181003; Eastbound,6061/2,0.343300339,51.5045354,Active,Eastbound
A13,6061/1,7791,TMU Site 6061/1 on link link road from A13 eastbound to A1089 southbound; GPS Ref: 562727;181026; Eastbound,6061/1,0.343296549,51.50474232,Active,Eastbound
A1089,6061/1,7791,TMU Site 6061/1 on link link road from A13 eastbound to A1089 southbound; GPS Ref: 562727;181026; Eastbound,6061/1,0.343296549,51.50474232,Active,Eastbound
A13,6046/1,9592,TMU Site 6046/1 on link A13 eastbound exit for A1306 near Aveley; GPS Ref: 554613;180280; Eastbound,6046/1,0.226156035,51.50031608,Active,Eastbound
A13,6046/2,9593,TMU Site 6046/2 on link A13 eastbound within the A1306 junction near Aveley; GPS Ref: 554612;180258; Eastbound,6046/2,0.226132012,51.50011869,Active,Eastbound
A1089,6165/1,7770,TMU Site 6165/1 on A1089 southbound between A126 and Tilbury; GPS Ref: 563182;177646; Southbound,6165/1,0.348286235,51.47424571,Active,Southbound
A1089,6064/1,7771,TMU Site 6064/1 on link A1089 southbound between A13 and A126; GPS Ref: 563885;179567; Southbound,6064/1,0.359290077,51.49130084,Active,Southbound
A1089,6063/1,7776,TMU Site 6063/1 on A1089 northbound between Tilbury and A126; GPS Ref: 563181;177507; Northbound,6063/1,0.34820774,51.47299724,Active,Northbound
